## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:36:19.437Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 1 Jan - 31 Dec 2018, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20180101T000000Z_20181231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524172                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.040683                         / Latitude North
#LONGITUDE:  -123.425809                         / Longitude East
#DEPTH:       298.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2018-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 372"               / Device Name of Device 1
#DEVCODE1:  WLNTUS372                            / Device Code of Device 1
#DEVID1:    23024                                / Device ID of Device 1
#
#DEPLDATE2: 2018-09-30T16:40:16.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 371"               / Device Name of Device 2
#DEVCODE2:  WLNTUS371                            / Device Code of Device 2
#DEVID2:    23023                                / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2018-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2018-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 2                                    / Number of Sample Periods
#PERIODST1: 2015-08-19T01:12:46.000Z             / Sample Period 1 Start Time
#PERIOD1:   1                                    / Sensor Sample Period 1 (s)
#PERIODST2: 2016-04-13T19:00:00.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 8266                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2018-01-03T12:30:00.000Z, 5.943333136, 7, 2698
2018-01-03T13:30:00.000Z, NaN, 6, 1844
2018-01-03T14:30:00.000Z, 4.018609965, 7, 3151
2018-01-03T15:30:00.000Z, 3.922413264, 7, 2895
2018-01-03T16:30:00.000Z, NaN, 6, 2307
2018-01-03T17:30:00.000Z, NaN, 6, 1871
2018-01-03T18:30:00.000Z, 2.324490294, 7, 2751
2018-01-03T19:30:00.000Z, NaN, 6, 2321
2018-01-03T20:30:00.000Z, NaN, 6, 2285
2018-01-03T21:30:00.000Z, 1.365394444, 7, 2592
2018-01-03T22:30:00.000Z, 2.374149982, 7, 2771
2018-01-03T23:30:00.000Z, 1.333777181, 7, 2682
2018-01-04T00:30:00.000Z, NaN, 6, 2371
2018-01-04T01:30:00.000Z, 1.321747137, 7, 2724
2018-01-04T02:30:00.000Z, NaN, 6, 2035
2018-01-04T03:30:00.000Z, NaN, 6, 2284
2018-01-04T04:30:00.000Z, 1.942660727, 7, 2559
2018-01-04T05:30:00.000Z, NaN, 6, 2191
2018-01-04T06:30:00.000Z, 1.648437523, 7, 3198
2018-01-04T07:30:00.000Z, 0.967454717, 7, 2544
2018-01-04T08:30:00.000Z, 0.875029622, 7, 2775
2018-01-04T09:30:00.000Z, 1.965039913, 7, 2751
2018-01-04T10:30:00.000Z, NaN, 6, 2294
2018-01-04T11:30:00.000Z, 4.158245076, 7, 3026
2018-01-04T12:30:00.000Z, 3.557287579, 7, 2850
2018-01-04T13:30:00.000Z, 3.735248842, 7, 2850
2018-01-04T14:30:00.000Z, 3.647096189, 7, 3306
2018-01-04T15:30:00.000Z, 3.767671265, 7, 3059
2018-01-04T16:30:00.000Z, 3.826407728, 7, 2588
2018-01-04T17:30:00.000Z, 6.969517463, 7, 2617
2018-01-04T18:30:00.000Z, 3.02602117, 7, 3231
2018-01-04T19:30:00.000Z, 2.035297132, 7, 2545
2018-01-04T20:30:00.000Z, NaN, 6, 2308
2018-01-04T21:30:00.000Z, 1.538556897, 7, 3197
2018-01-04T22:30:00.000Z, 2.056149794, 7, 2665
2018-01-04T23:30:00.000Z, 1.643623291, 7, 3160
2018-01-05T00:30:00.000Z, 1.212209041, 7, 2721
2018-01-05T01:30:00.000Z, 4.628058552, 7, 2555
2018-01-05T02:30:00.000Z, 7.319731312, 7, 2903
2018-01-05T03:30:00.000Z, 1.824768967, 7, 2681
2018-01-05T04:30:00.000Z, NaN, 6, 1475
2018-01-05T05:30:00.000Z, 1.494883271, 7, 2690
2018-01-05T06:30:00.000Z, 1.616781483, 7, 2765
2018-01-05T07:30:00.000Z, NaN, 6, 2102
2018-01-05T08:30:00.000Z, NaN, 6, 1533
2018-01-05T09:30:00.000Z, 0.77614462, 7, 2528
2018-01-05T10:30:00.000Z, NaN, 6, 2017
2018-01-05T11:30:00.000Z, 8.741524955, 7, 2761
2018-01-05T12:30:00.000Z, NaN, 6, 2359
2018-01-05T13:30:00.000Z, NaN, 6, 1968
2018-01-05T14:30:00.000Z, 3.255522962, 7, 2539
2018-01-05T15:30:00.000Z, 2.981142489, 7, 2796
2018-01-05T16:30:00.000Z, NaN, 6, 2110
2018-01-05T17:30:00.000Z, NaN, 6, 1854
2018-01-05T18:30:00.000Z, 2.333566071, 7, 2688
2018-01-05T19:30:00.000Z, NaN, 6, 2312
2018-01-05T20:30:00.000Z, 2.036204758, 7, 2606
2018-01-05T21:30:00.000Z, 1.915607687, 7, 2914
2018-01-05T22:30:00.000Z, NaN, 6, 1926
2018-01-05T23:30:00.000Z, 1.483078549, 7, 3142
2018-01-06T00:30:00.000Z, 1.15004836, 7, 3110
2018-01-06T01:30:00.000Z, NaN, 6, 2423
2018-01-06T02:30:00.000Z, 1.056331636, 7, 3025
2018-01-06T03:30:00.000Z, NaN, 6, 1946
2018-01-06T04:30:00.000Z, 1.019639004, 7, 2892
2018-01-06T05:30:00.000Z, NaN, 6, 2223
2018-01-06T06:30:00.000Z, NaN, 6, 2314
2018-01-06T07:30:00.000Z, NaN, 6, 1979
2018-01-06T08:30:00.000Z, NaN, 6, 2106
2018-01-06T09:30:00.000Z, NaN, 6, 1652
2018-01-06T10:30:00.000Z, 0.914084376, 7, 2669
2018-01-06T11:30:00.000Z, 0.989143378, 7, 2635
2018-01-06T12:30:00.000Z, 2.456569863, 7, 2628
2018-01-06T13:30:00.000Z, 6.696221869, 7, 3018
2018-01-06T14:30:00.000Z, 3.375938357, 7, 2933
2018-01-06T15:30:00.000Z, NaN, 6, 2444
2018-01-06T16:30:00.000Z, NaN, 6, 2151
2018-01-06T17:30:00.000Z, 2.842020405, 7, 2666
2018-01-06T18:30:00.000Z, 2.662020806, 7, 2903
2018-01-06T19:30:00.000Z, 2.082444291, 7, 2890
2018-01-06T20:30:00.000Z, NaN, 6, 1399
2018-01-06T21:30:00.000Z, 1.425479203, 7, 2861
2018-01-06T22:30:00.000Z, NaN, 6, 2402
2018-01-06T23:30:00.000Z, NaN, 6, 2193
2018-01-07T00:30:00.000Z, NaN, 6, 2289
2018-01-07T01:30:00.000Z, 1.563171777, 7, 2948
2018-01-07T02:30:00.000Z, NaN, 6, 1489
2018-01-07T03:30:00.000Z, NaN, 6, 1845
2018-01-07T04:30:00.000Z, NaN, 6, 1953
2018-01-07T05:30:00.000Z, 1.079322207, 7, 2900
2018-01-07T06:30:00.000Z, NaN, 6, 2332
2018-01-07T07:30:00.000Z, NaN, 6, 2273
2018-01-07T08:30:00.000Z, NaN, 6, 2207
2018-01-07T09:30:00.000Z, NaN, 6, 1922
2018-01-07T10:30:00.000Z, NaN, 6, 2004
2018-01-07T11:30:00.000Z, 0.871149981, 7, 2591
2018-01-07T12:30:00.000Z, 1.89808292, 7, 2740
2018-01-07T13:30:00.000Z, 2.001923724, 7, 3136
2018-01-07T14:30:00.000Z, 1.913657143, 7, 2982
2018-01-07T15:30:00.000Z, NaN, 6, 2119
2018-01-07T16:30:00.000Z, 2.228922, 7, 2800
2018-01-07T17:30:00.000Z, NaN, 6, 2057
2018-01-07T18:30:00.000Z, NaN, 6, 2222
2018-01-07T19:30:00.000Z, 2.626006154, 7, 2730
2018-01-07T20:30:00.000Z, 2.232661866, 7, 2861
2018-01-07T21:30:00.000Z, 1.42943191, 7, 2670
2018-01-07T22:30:00.000Z, 2.634077705, 7, 2579
2018-01-07T23:30:00.000Z, NaN, 6, 2424
2018-01-08T00:30:00.000Z, 1.117327927, 7, 3058
2018-01-08T01:30:00.000Z, 1.538598124, 7, 3198
2018-01-08T02:30:00.000Z, NaN, 6, 2241
2018-01-08T03:30:00.000Z, NaN, 6, 1672
