"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","Time"
"79",0.002,0,0,0,0,0,0,0.016,0.93,0,0.076,2021-02-09 00:30:00
"80",0,0,0,0,0,0,0,0.004,0,0,0,2021-02-09 12:30:00
"81",0,0,0,0.002,0,0,0,0,0,0,0,2021-02-10 00:30:00
"82",0,0,0,0,0,0,0,0.002,0,0,0,2021-02-10 12:30:00
"83",0,0,0,0,0,0,0,0.004,0,0,0,2021-02-11 00:30:00
"84",0,0,0,0.002,0,1,0,0,0,0,0,2021-02-11 12:30:00
"85",0,0,0,0.014,0,0,0,0.01,0,0,0,2021-02-12 00:30:00
"86",0,0,0,0.06,0,0,0,0.01,0,0,0,2021-02-12 12:30:00
"87",0,0,0,0.178,0,0,0,0.004,0,0,0,2021-02-13 00:30:00
"88",0,0,0,0.054,0,0,0,0.006,0,0,0,2021-02-13 12:30:00
"89",0,0,0,0.376,0,0,0,0.004,0,0,0,2021-02-14 00:30:00
"90",0,0,0,0.03,0,0,0,0.042,0,0,0,2021-02-14 12:30:00
"91",0,0,0,0.034,0,0,0,0.04,0,0,0,2021-02-15 00:30:00
"92",0,0,0,0.002,0,1,0,0.04,0,0,0,2021-02-15 12:30:00
"93",0,0,0,0,0,1,0,0.036,0,0,0,2021-02-16 00:30:00
"94",0,0,0,0,0,1,0,0.04,0,0,0,2021-02-16 12:30:00
"95",0,0,0,0.002,0,1,0,0.064,0,0,0,2021-02-17 00:30:00
"96",0,0,0,0.002,0,1,0,0.048,0,0,0,2021-02-17 12:30:00
"97",0,0,0,0.008,0,0,0,0.052,0,0,0,2021-02-18 00:30:00
"98",0,0,0,0,0,1,0,0.032,0,0,0,2021-02-18 12:30:00
"99",0,0,0,0,0,1,0,0.018,0,0,0,2021-02-19 00:30:00
"100",0,0,1,0,0,0,0,0.028,0,0,0,2021-02-19 12:30:00
"101",1,0,0,0,0,0,0,0.286,0,0,0,2021-02-20 00:30:00
"102",0,0,0,0,0,0,0,0.062,0,0,0,2021-02-20 12:30:00
"103",0.018,1,0,0,0,0,0,0.016,0,0,0,2021-02-21 00:30:00
"104",0,0,0,0,0,0,0,0,0,0,0,2021-02-21 12:30:00
"105",0.982,0,0,0,0,0,0,0,0,0,0,2021-02-22 00:30:00
"106",0.982,0,0,0,0,0,0,0,0,0,0,2021-02-22 12:30:00
"107",0.982,0,0,0,0,0,0,0.01,0,0,0,2021-02-23 00:30:00
"108",0.982,0,0,0,0,0,0,0,0,0,0,2021-02-23 12:30:00
"109",0.982,0.006,0,0,0,0,0,0.012,0,0,0,2021-02-24 00:30:00
"110",0,0.046,0,0,0,0,0,0.006,0,1,0,2021-02-24 12:30:00
"111",0.018,0.002,0,0,0,0,0,0.006,0,0,0,2021-02-25 00:30:00
"112",0,0.002,0,0,0,0,0,0,0,0,0,2021-02-25 12:30:00
"113",1,0.006,0,0,0,0,0,0,0,0,0,2021-02-26 00:30:00
"114",0,0.016,0,0,0,0,0,0,0,0,0.014,2021-02-26 12:30:00
"115",0,0,0,0,0,0,0,0.012,0,0,0.004,2021-02-27 00:30:00
"116",0,0,0,0,0,0,0,0,0,0,0.002,2021-02-27 12:30:00
"117",0,0,0,0,0,0,0,0,0,0,0.004,2021-02-28 00:30:00
"118",0,0,0,0,0,0,0,0,0,0,0,2021-02-28 12:30:00
"119",0,0,0,0,0,1,0,0.034,1,0,0,2021-03-01 00:30:00
"120",0,0.004,0,0,0,0,0,0,0,0,0,2021-03-01 12:30:00
"121",0,0.034,0,0,0,0,0,0.138,0,0,0,2021-03-02 00:30:00
"122",0,0.07,0,0,0.002,0,0,0.306,0,0,0,2021-03-02 12:30:00
"123",0,0.108,0,0,0,0,0,0.118,0,0,0,2021-03-03 00:30:00
"124",0,0.052,0,0,0,0,0,0,0,0,0.002,2021-03-03 12:30:00
"125",0,0.06,0,0,0,0,0,0.104,0,0,0.006,2021-03-04 00:30:00
"126",0,0.126,0,0,0,0,0,0,0,0,0.004,2021-03-04 12:30:00
"127",0,0.064,1,0,0,0,0,0,0,0,0.01,2021-03-05 00:30:00
"128",0,0.054,0,1,0,0,0,0,0,0,0.004,2021-03-05 12:30:00
"129",0,0.006,0,1,0.004,0,0,0.004,0,0,0.024,2021-03-06 00:30:00
"130",0,0.006,0,1,0,0,1,0.002,0,0,0.036,2021-03-06 12:30:00
"131",0,0.126,0,1,0,0,0,0,0,0,0.004,2021-03-07 00:30:00
"132",0,0.002,0,1,0,0,0,0,0,0,0.002,2021-03-07 12:30:00
"133",0,0.028,0,1,0,0,0,0,0,0,0,2021-03-08 00:30:00
"134",0,0.074,0,0,0,0,0,0,0,1,0.018,2021-03-08 12:30:00
"135",0,0,0,0,0,0,0,0,0,0,0.01,2021-03-09 00:30:00
"136",0,0.106,1,1,0,0,0,0.002,0,0,0.002,2021-03-09 12:30:00
"137",0,0,0,0,0,1,0,0,0,0,0.002,2021-03-10 00:30:00
"138",1,0,0,0,0,0,0,0,0,0,0.014,2021-03-10 12:30:00
"139",0,0,0,0,0,0,0,0.004,0,0,0.012,2021-03-11 00:30:00
"140",0,0,0,0,0,0,0,0.002,0,0,0.004,2021-03-11 12:30:00
"141",0,0,0,0,0,0,0,0.254,0,0,0.022,2021-03-12 00:30:00
"142",0,0,0,0,0,0,0,0,0,0,0.012,2021-03-12 12:30:00
"143",0,0,0,0,1,0,0,0.008,0,0,0.194,2021-03-13 00:30:00
"144",0,0,0,0,0,0,0,0.006,0,1,0.044,2021-03-13 12:30:00
"145",0,0,0.01,0,0,0,0,0.018,0,1,0.09,2021-03-14 00:30:00
"146",0,0,0,0,0,0,0,0.004,0,1,0.124,2021-03-14 12:30:00
"147",0,0,0,0,0,0,1,0,0,1,0.26,2021-03-15 00:30:00
"148",0,0,0,0,0,0,1,0,0,1,0.004,2021-03-15 12:30:00
"149",0,0,0.98,0,0,0,1,0,0,0.596,0.004,2021-03-16 00:30:00
"150",0,0,0,0,0,0,0,0,0,0.594,0,2021-03-16 12:30:00
"151",0,0,0,1,0,0,0,0,0,0,0.002,2021-03-17 00:30:00
"152",0,0,0,0,0,0,0,0,0,1,0,2021-03-17 12:30:00
"153",0,0,0,0,0,0,0.002,0.006,0,0,0,2021-03-18 00:30:00
"154",0,0,0,0,0,0,1,0,0,0,0,2021-03-18 12:30:00
"155",0,0,0,0,0,0,0,0,0.002,0,0,2021-03-19 00:30:00
"156",0,0,0,0,0.004,0,0,0,0,0,0,2021-03-19 12:30:00
"157",0,0,0,0,0,0,0,0,0.008,0,0,2021-03-20 00:30:00
"158",1,0,0,1,0.004,0,0,0,0,0,0,2021-03-20 12:30:00
"159",0,0.082,0,0,0,0,0,0,0.008,0,0,2021-03-21 00:30:00
"160",0,0.73,0,0,0,0.002,0,0,0,1,0.002,2021-03-21 12:30:00
"161",1,0.084,0,0,0,0,0,0,0,0,0,2021-03-22 00:30:00
"162",0,0,0,0,1,0,0,0,0,0,0,2021-03-22 12:30:00
"163",0,0.012,0,0,0,0,0,0.048,0.006,0,0,2021-03-23 00:30:00
"164",0,0.014,0,0,0,0,1,0,0.004,0,0.002,2021-03-23 12:30:00
"165",0,0.012,0,0,1,0,0,0,0.018,0,0.004,2021-03-24 00:30:00
"166",0.02,0.014,0,0,0,0,0,0,0.002,0,0.002,2021-03-24 12:30:00
"167",0.106,0,0,0,1,0,0,0.138,0.014,0.058,0.024,2021-03-25 00:30:00
"168",0.884,0.008,0,0,0,0,0,0.808,0.004,0,0.018,2021-03-25 12:30:00
"169",0.886,0.002,0,0,0,0,0,0,0.02,0.59,0.012,2021-03-26 00:30:00
"170",0,0.006,0,0,0.002,0,0,0,0,0.002,0,2021-03-26 12:30:00
"171",1,0.018,0,0,0,1,0,0,0,0.084,0,2021-03-27 00:30:00
"172",1,0.006,0,0,0,0,0,0,0,0,0,2021-03-27 12:30:00
"173",0,0.004,0,0,0,0,0,0,0,0,0,2021-03-28 00:30:00
"174",0,0.002,0,0,0,0,0,0,0,0,0,2021-03-28 12:30:00
"175",1,0,0.022,0,0,0,0,0,0,0,0,2021-03-29 00:30:00
"176",0,0,0.002,0,0,0,0,0,0,0,0,2021-03-29 12:30:00
"177",0,0,0,0,0,0,0,0,0,0,0,2021-03-30 00:30:00
"178",1,0.002,0,0,0,0,0,0,0,0,0,2021-03-30 12:30:00
"179",0,0,0.002,0,0,0,0,0,0,0,0,2021-03-31 00:30:00
"180",0,0,0,0,0,0,0,0,0,0,0,2021-03-31 12:30:00
"181",0,0,0,0,0,0,0,0,0,0,0,2021-04-01 00:30:00
"182",0,0,0,0,0,0,0,0,0,0,0,2021-04-01 12:30:00
"183",0,0,0,0,0,0,0,0,0,0,0,2021-04-02 00:30:00
"184",0,0,0,0,0,0,0,0,0,0,1,2021-04-02 12:30:00
"185",0,0,0,0,0,0,0,0,0,0,1,2021-04-03 00:30:00
"186",0,0,0,0,0,0,0,0.006,0,0,0,2021-04-03 12:30:00
"187",0,0,0,0,0,0,0,0,0,0,0,2021-04-04 00:30:00
"188",0,0,0,0,0,0,0,0,0,0,0,2021-04-04 12:30:00
